,Periode,Gemeente,Region_Code,SES-Score,Spreiding,GemiddeldeVerkoopprijs_1,Average_Room_Price
0,2019,Aa en Hunze,GM1680,"0,138","0,719",284794.0,
1,2019,Aalsmeer,GM0358,"0,209","0,705",409304.0,1090.529411764706
2,2019,Aalten,GM0197,"0,087","0,693",226080.0,
3,2019,Achtkarspelen,GM0059,"-0,067","0,797",216483.0,
4,2019,Alblasserdam,GM0482,"0,024","0,786",268447.0,685.0
5,2019,Albrandswaard,GM0613,"0,224","0,714",361942.0,
6,2019,Alkmaar,GM0361,"0,015","0,844",286883.0,650.187969924812
7,2019,Almelo,GM0141,"-0,192","0,931",209973.0,434.9428571428571
8,2019,Almere,GM0034,"0,02","0,842",294284.0,671.7535545023696
9,2019,Alphen aan den Rijn,GM0484,"0,131","0,745",286500.0,574.7619047619048
10,2019,Alphen-Chaam,GM1723,"0,258","0,659",347848.0,
11,2019,Altena,GM1959,"0,127","0,703",291448.0,
12,2019,Ameland,GM0060,"0,1","0,652",321196.0,
13,2019,Amersfoort,GM0307,"0,116","0,848",358651.0,602.1111111111111
14,2019,Amstelveen,GM0362,"0,128","0,846",525247.0,985.8632075471698
15,2019,Amsterdam,GM0363,"-0,1","1,01",484995.0,969.2302786169856
16,2019,Apeldoorn,GM0200,"0,025","0,835",287155.0,619.1363636363636
17,2019,Arnhem,GM0202,"-0,199","1,01",260635.0,542.1933962264151
18,2019,Assen,GM0106,"-0,021","0,838",228658.0,514.9193548387096
19,2019,Asten,GM0743,"0,102","0,75",334156.0,250.0
20,2019,Baarle-Nassau,GM0744,"0,077","0,769",334058.0,
21,2019,Baarn,GM0308,"0,146","0,775",431161.0,853.0
22,2019,Barendrecht,GM0489,"0,227","0,715",352460.0,415.0
23,2019,Barneveld,GM0203,"0,155","0,708",359070.0,366.1111111111111
24,2019,Beek,GM0888,"0,061","0,78",231409.0,
25,2019,Beekdaelen,GM1954,"0,076","0,759",248905.0,
26,2019,Beemster,GM0370,"0,266","0,677",437693.0,
27,2019,Beesel,GM0889,"0,012","0,761",233443.0,
28,2019,Berg en Dal,GM1945,"0,016","0,823",292830.0,495.7142857142857
29,2019,Bergeijk,GM1724,"0,223","0,65",335601.0,350.0
30,2019,Bergen (L.),GM0893,"0,05","0,724",240030.0,
