index,Periode,SES-Score,Spreiding,Plaats,Buurt,Wijk,Gemeente,Region_Code,Region_Description,ID,RegioS,Perioden,GemiddeldeVerkoopprijs_1
0,2014JJ00,"0,141","0,701",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),512,GM1680,2014JJ00,213509.0
2,2015JJ00,"0,144","0,701",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),513,GM1680,2015JJ00,241481.0
4,2016JJ00,"0,146","0,703",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),514,GM1680,2016JJ00,227275.0
6,2017JJ00,"0,137","0,715",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),515,GM1680,2017JJ00,241866.0
8,2018JJ00,"0,136","0,72",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),516,GM1680,2018JJ00,258980.0
10,2019JJ00,"0,138","0,719",Aa en Hunze,,,Aa en Hunze,GM1680,Gemeente 'Aa en Hunze' (GM1680),517,GM1680,2019JJ00,284794.0
446,2014JJ00,"0,204","0,677",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),570,GM0358,2014JJ00,271638.0
448,2015JJ00,"0,2","0,687",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),571,GM0358,2015JJ00,277057.0
450,2016JJ00,"0,194","0,703",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),572,GM0358,2016JJ00,332572.0
452,2017JJ00,"0,19","0,709",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),573,GM0358,2017JJ00,375983.0
454,2018JJ00,"0,2","0,709",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),574,GM0358,2018JJ00,406960.0
456,2019JJ00,"0,209","0,705",Aalsmeer,,,Aalsmeer,GM0358,Gemeente 'Aalsmeer' (GM0358),575,GM0358,2019JJ00,409304.0
602,2014JJ00,"0,085","0,682",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),599,GM0197,2014JJ00,175272.0
604,2015JJ00,"0,09","0,681",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),600,GM0197,2015JJ00,168032.0
606,2016JJ00,"0,083","0,694",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),601,GM0197,2016JJ00,192007.0
608,2017JJ00,"0,081","0,699",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),602,GM0197,2017JJ00,206497.0
610,2018JJ00,"0,082","0,703",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),603,GM0197,2018JJ00,210100.0
612,2019JJ00,"0,087","0,693",Aalten,,,Aalten,GM0197,Gemeente 'Aalten' (GM0197),604,GM0197,2019JJ00,226080.0
898,2014JJ00,"-0,073","0,783",Achtkarspelen,,,Achtkarspelen,GM0059,Gemeente 'Achtkarspelen' (GM0059),715,GM0059,2014JJ00,155891.0
900,2015JJ00,"-0,077","0,793",Achtkarspelen,,,Achtkarspelen,GM0059,Gemeente 'Achtkarspelen' (GM0059),716,GM0059,2015JJ00,174264.0
902,2016JJ00,"-0,075","0,799",Achtkarspelen,,,Achtkarspelen,GM0059,Gemeente 'Achtkarspelen' (GM0059),717,GM0059,2016JJ00,179055.0
