Gemeente,Gemeentecode,Average_Room_Price
Aalsmeer,GM0358    ,1090.5294117647059
Alblasserdam,GM0482    ,685.0
Alkmaar,GM0361    ,650.187969924812
Almelo,GM0141    ,434.9428571428571
Almere,GM0034    ,671.7535545023696
Alphen aan den Rijn,GM0484    ,574.7619047619048
Amersfoort,GM0307    ,602.1111111111111
Amstelveen,GM0362    ,985.8632075471698
Amsterdam,GM0363    ,969.2302786169855
Apeldoorn,GM0200    ,619.1363636363636
Arnhem,GM0202    ,542.1933962264151
Assen,GM0106    ,514.9193548387096
Asten,GM0743    ,250.0
Baarn,GM0308    ,853.0
Barendrecht,GM0489    ,415.0
Barneveld,GM0203    ,366.1111111111111
Berg en Dal,GM1945    ,495.7142857142857
Bergeijk,GM1724    ,350.0
Bergen op Zoom,GM0748    ,874.4444444444445
Best,GM0753    ,669.8888888888889
Beuningen,GM0209    ,182.0
Beverwijk,GM0375    ,853.9655172413793
Blaricum,GM0376    ,1750.0
Borne,GM0147    ,600.0
Boxtel,GM0757    ,367.85714285714283
Breda,GM0758    ,531.6625615763547
Brunssum,GM0899    ,505.0
Bunnik,GM0312    ,689.6666666666666
Capelle aan den IJssel,GM0502    ,553.5851063829788
Castricum,GM0383    ,775.8333333333334
Coevorden,GM0109    ,562.5
Culemborg,GM0216    ,507.14285714285717
Dalfsen,GM0148    ,882.5
De Bilt,GM0310    ,655.952380952381
Delft,GM0503    ,410.6403785488959
Den Helder,GM0400    ,607.5
Deurne,GM0762    ,429.45454545454544
Deventer,GM0150    ,490.5978835978836
Diemen,GM0384    ,846.044776119403
Doesburg,GM0221    ,1025.0
Doetinchem,GM0222    ,394.2105263157895
Dongen,GM0766    ,822.25
Dordrecht,GM0505    ,612.9175257731958
Dronten,GM0303    ,366.875
Duiven,GM0226    ,150.0
Ede,GM0228    ,395.14141414141415
Eemnes,GM0317    ,973.3333333333334
Eersel,GM0770    ,1565.0
Eindhoven,GM0772    ,715.1319381255687
Elburg,GM0230    ,800.0
Emmen,GM0114    ,370.89130434782606
Enkhuizen,GM0388    ,1295.0
Enschede,GM0153    ,430.2569796954315
Epe,GM0232    ,760.0
Ermelo,GM0233    ,646.1666666666666
Etten-Leur,GM0777    ,458.3333333333333
Gennep,GM0907    ,456.0
Goes,GM0664    ,333.0
Goirle,GM0785    ,405.7692307692308
Gorinchem,GM0512    ,669.3333333333334
Gouda,GM0513    ,480.8888888888889
Groningen,GM0014    ,557.3894703457025
